record_id,doi,material_name,carbonization_temperature_C,carbonization_time_h,heating_rate_C_min,d002_nm,la_nm,lc_nm,id_ig,ssa_m2_g,pore_volume_cm3_g,category,electrolyte_text,current_density_mA_g,ice,plateau_capacity_mAh_g,reversible_capacity_mAh_g,rate_capability,electrolyte_type,lce
,Modulating electronic structure with heteroatom dopants in porous hard carbon towards ultralong lifespan sodium-ion batteries,NSDC,700,5.0,,0.384,,,1.04,1041.2,0.6,酯类,1.0 M NaPF6 dissolved in ethylene carbonate (EC)/propylene carbonate (PC) (1:1 by volume) with 2% fluoroethylene carbonate (FEC),100.0,0.3327,0.0,366.1,202.5,0.0,-0.6959985368851299
263.0,Modulating the Graphitic Domains and Pore Structure of Corncob-Derived Hard Carbons by Pyrolysis to Improve Sodium Storage,CC-1000,1000,2.0,5.0,0.403,,,2.11,393.84,,酯类,1.0 M NaClO4 in ethylene carbonate (EC): dimethyl carbonate (DMC) = 1:1 vol.% ,30.0,0.5256,52.8,128.25,33.04,0.0,0.10248961948688495
273.0,Nitrogen doped soap-nut seeds derived hard carbon as an efficient anode material for Na-ion batteries,SNS-0,800,2.0,,0.37,,,1.09,477.838,0.625,酯类,1 M NaClO4 in ethylene carbonate (EC) and propylene carbonate (PC) (1:1 v/v),25.0,0.354,38.4,194.0,58.5,0.0,-0.6015025906488274
,Nitrogen doped soap-nut seeds derived hard carbon as an efficient anode material for Na-ion batteries,SNS-0.5,800,2.0,,0.38,,,1.06,449.073,0.769,酯类,1 M NaClO4 in ethylene carbonate (EC) and propylene carbonate (PC) (1:1 v/v),25.0,0.3697,32.68,210.0,69.5,0.0,-0.5335040305764784
,Nitrogen doped soap-nut seeds derived hard carbon as an efficient anode material for Na-ion batteries,SNS-1,800,2.0,,0.38,,,1.17,282.87,0.381,酯类,1 M NaClO4 in ethylene carbonate (EC) and propylene carbonate (PC) (1:1 v/v),25.0,0.5044,63.3,289.0,51.2,0.0,0.017600454335776856
,Nitrogen doped soap-nut seeds derived hard carbon as an efficient anode material for Na-ion batteries,SNS-1.5,800,2.0,,0.38,,,1.09,505.317,0.63,酯类,1 M NaClO4 in ethylene carbonate (EC) and propylene carbonate (PC) (1:1 v/v),25.0,0.3765,43.97,215.0,31.7,0.0,-0.5044307178801427
,Nitrogen/oxygen/sulfur tri-doped hard carbon nanospheres derived from waste tires with high sodium and potassium anodic performances,NOS-HC900,900,2.0,5.0,0.392,,,1.02,55.8,0.29,酯类,"1.0 M KPF6 in a mixed solution of EC, DEC, and EMC (1 : 1 : 1 in Vol) with 0.5% FEC",100.0,0.433,0.0,425.3,252.3,0.0,-0.2696215757252622
282.0,Nitrogen/phosphorus co-doped ultramicropores hard carbon spheres for rapid sodium storage,NUCS,800,2.0,5.0,0.391,,,0.96,75.7,,醚类,1.0 M NaPF6 in diglyme,100.0,0.63,46.33,176.3,131.6,1.0,0.5322168137473082
,Novel Structural Design and Adsorption/Insertion Coordinating Quasi-Metallic Na Storage Mechanism toward High-performance Hard Carbon Anode Derived from Carboxymethyl Cellulose,N-CNS-900,900,2.0,2.0,0.364,0.38,0.21,1.1,491.0,0.17,醚类,1.0 mol L-1 NaPF6 dissolved in dimethyl ether (DME),50.0,0.5116,25.75,170.5,114.9,1.0,0.04640832746813828
,Novel Structural Design and Adsorption/Insertion Coordinating Quasi-Metallic Na Storage Mechanism toward High-performance Hard Carbon Anode Derived from Carboxymethyl Cellulose,N-CNS-1200,1200,2.0,2.0,0.377,3.15,1.55,0.98,341.0,0.11,醚类,1.0 mol L-1 NaPF6 dissolved in dimethyl ether (DME),50.0,0.654,51.5,183.6,142.6,1.0,0.6366685763994745
288.0,One stone two birds: Pitch assisted microcrystalline regulation and defect engineering in coal-based carbon anodes for sodium-ion batteries,LC,1200,2.0,5.0,0.346,,,0.98,169.52,0.281,酯类,1 M NaClO4 in ethylene (EC) and diethyl carbonate (DEC) (1:1 in volume) with 5% fluoroethylene carbonate (FEC),30.0,0.599,97.0,290.2,76.9,0.0,0.4013001708088801
,One stone two birds: Pitch assisted microcrystalline regulation and defect engineering in coal-based carbon anodes for sodium-ion batteries,PCLC-1,1200,2.0,5.0,0.386,,,1.75,5.95,0.024,酯类,1 M NaClO4 in ethylene (EC) and diethyl carbonate (DEC) (1:1 in volume) with 5% fluoroethylene carbonate (FEC),30.0,0.853,185.7,312.2,106.1,0.0,1.7583269607129426
,One stone two birds: Pitch assisted microcrystalline regulation and defect engineering in coal-based carbon anodes for sodium-ion batteries,PCLC-10,1200,2.0,5.0,0.374,,,1.49,4.6,0.031,酯类,1 M NaClO4 in ethylene (EC) and diethyl carbonate (DEC) (1:1 in volume) with 5% fluoroethylene carbonate (FEC),30.0,0.797,151.9,275.3,81.6,0.0,1.367648699748428
294.0,Optimization of tannin-derived hard carbon spheres for high-performance sodium-ion batteries,HC-C1500,1500,1.0,5.0,0.367,3.9,1.15,1.42,11.2,0.0141,酯类,"1 M NaPF6 salt (sodium hexafluorophosphate) dissolved in a mixture of ethylene carbonate/dimethyl carbonate (EC/DMC), with a 1 : 1 volume ratio",7.44,0.83,186.75,286.0,,0.0,1.5856272637403817
,Optimization of tannin-derived hard carbon spheres for high-performance sodium-ion batteries,HC-MC1500,1500,1.0,5.0,0.373,3.83,1.04,1.55,8.5,0.0064,酯类,"1 M NaPF6 salt (sodium hexafluorophosphate) dissolved in a mixture of ethylene carbonate/dimethyl carbonate (EC/DMC), with a 1 : 1 volume ratio",7.44,0.85,227.76,329.0,,0.0,1.7346010553881064
,Optimization of tannin-derived hard carbon spheres for high-performance sodium-ion batteries,HC-MG1500,1500,1.0,5.0,0.375,3.76,1.08,1.54,6.0,0.0069,酯类,"1 M NaPF6 salt (sodium hexafluorophosphate) dissolved in a mixture of ethylene carbonate/dimethyl carbonate (EC/DMC), with a 1 : 1 volume ratio",7.44,0.85,218.93,317.0,,0.0,1.7346010553881064
,Optimization of tannin-derived hard carbon spheres for high-performance sodium-ion batteries,HC-MG1600,1600,1.0,5.0,0.37,3.94,1.13,1.44,8.2,0.007,酯类,"1 M NaPF6 salt (sodium hexafluorophosphate) dissolved in a mixture of ethylene carbonate/dimethyl carbonate (EC/DMC), with a 1 : 1 volume ratio",7.44,0.88,229.34,313.0,,0.0,1.9924301646902063
,P-doped hard carbon microspheres for sodium-ion battery anodes with superior rate and cyclic performance,PHCS1,800,2.0,5.0,0.394,,,0.957,305.051,0.1921,醚类,1.0 M NaPF6 in Diglyme,100.0,0.521,0.0,115.2,80.9,1.0,0.08404944434245186
,P-doped hard carbon microspheres for sodium-ion battery anodes with superior rate and cyclic performance,PHCS3,800,2.0,5.0,0.416,,,0.976,46.269,0.0893,醚类,1.0 M NaPF6 in Diglyme,100.0,0.581,29.01,206.3,143.9,1.0,0.32687983692977335
,Phosphate-Induced Reaction to Prepare Coal-Based P-Doped Hard Carbon with a Hierarchical Porous Structure for Improved Sodium-Ion Storage,BPHC,1000,4.0,,0.373,1.81,1.43,2.7,49.6,,酯类, 1.0 M NaClO4 in EC:PC (1:1 vol% with 5.0% FEC),100.0,0.64,42.71,189.28,58.2,0.0,0.5753641449035619
,Pre-crosslinking enables a promising cyclodextrin-derived carbon anode with large plateau capacity for sodium ion batteries,CCS-15,1400,3.0,5.0,0.418,,3.2,1.48,3.63,0.0063,醚类,1 M NaPF6 in ethylene glycol dimethyl ether (DME),30.0,0.727,120.0,238.1,,1.0,0.9794546823485596
,Pre-crosslinking enables a promising cyclodextrin-derived carbon anode with large plateau capacity for sodium ion batteries,CCS-30,1400,3.0,5.0,0.42,,2.98,1.74,1.47,0.0051,醚类,1 M NaPF6 in ethylene glycol dimethyl ether (DME),30.0,0.834,230.1,332.5,,1.0,1.6142456140022032
,Pre-crosslinking enables a promising cyclodextrin-derived carbon anode with large plateau capacity for sodium ion batteries,CCS-45,1400,3.0,5.0,0.419,,3.12,1.43,2.93,0.0055,醚类,1 M NaPF6 in ethylene glycol dimethyl ether (DME),30.0,0.789,168.0,260.8,,1.0,1.318908187369808
,Pre-crosslinking enables a promising cyclodextrin-derived carbon anode with large plateau capacity for sodium ion batteries,CCS-60,1400,3.0,5.0,0.417,,3.17,1.4,4.34,0.0078,醚类,1 M NaPF6 in ethylene glycol dimethyl ether (DME),30.0,0.771,130.0,251.9,,1.0,1.21396637000909
311.0,Pre-Oxidation Strategy Transforming Waste Foam to Hard Carbon Anodes for Boosting Sodium Storage Performance,WFC1400 ,1400,3.0,3.0,0.374,,,1.175,52.1,0.0611,酯类,"f 1 M NaPF6 in ethylene (EC) and dimethyl carbonate (DMC)
(volume ratio 1:1)",20.0,0.811,188.87,273.7,,0.0,1.456521039055771
,Pre-Oxidation Strategy Transforming Waste Foam to Hard Carbon Anodes for Boosting Sodium Storage Performance,WFOC250-1400,1400,3.0,3.0,0.382,,,1.18,15.3,0.0331,酯类,"f 1 M NaPF6 in ethylene (EC) and dimethyl carbonate (DMC)
(volume ratio 1:1)",20.0,0.901,216.19,308.0,,0.0,2.2083854074737483
,Pre-Oxidation Strategy Transforming Waste Foam to Hard Carbon Anodes for Boosting Sodium Storage Performance,WFOC280-1400,1400,3.0,3.0,0.398,,,1.198,10.8,0.0238,酯类,"f 1 M NaPF6 in ethylene (EC) and dimethyl carbonate (DMC)
(volume ratio 1:1)",20.0,0.894,200.4,290.1,,0.0,2.1322666810614472
318.0,Rationally Designing Closed Pore Structure by Carbon Dots to Evoke Sodium Storage Sites of Hard Carbon in Low-Potential Region,PNDCs,900,2.0,5.0,0.375,,,2.21,195.7,0.1393,酯类,1 M NaClO4 in PC with 5.0% FEC w,100.0,0.547,19.88,147.4,90.0,0.0,0.18855667693894732
,Rationally Designing Closed Pore Structure by Carbon Dots to Evoke Sodium Storage Sites of Hard Carbon in Low-Potential Region,PNDCs-500CDs,900,2.0,5.0,0.392,,,2.89,181.3,0.1409,酯类,1 M NaClO4 in PC with 5.0% FEC w,100.0,0.623,60.09,207.15,85.0,0.0,0.5023013313394424
,Rationally Designing Closed Pore Structure by Carbon Dots to Evoke Sodium Storage Sites of Hard Carbon in Low-Potential Region,PNDCs-500CDs-1200 °C,1200,2.0,5.0,0.382,,,2.28,17.4,0.08284,酯类,1 M NaClO4 in PC with 5.0% FEC w,100.0,0.684,76.08,219.222,82.1,0.0,0.7722157040356386
,Recycling of waste coal-based filter materials into carbon anode materials for potassium and sodium-ion batteries,WFC-1800,1800,2.0,,0.365,,,0.75,13.0,,醚类,1.0 mol/L NaPF6 dissolved in methoxymethane (DME),20.0,0.805,89.5,241.7,152.1,1.0,1.4178427188548168
325.0,Recycling spent masks to fabricate flexible hard carbon anode toward advanced sodium energy storage,HCF-1200,1200,2.0,,0.393,,,1.09,5.0,,醚类,1 M NaPF6/Diglyme,20.0,0.76,107.81,213.19,92.3,1.0,1.1526795099383855
,Recycling spent masks to fabricate flexible hard carbon anode toward advanced sodium energy storage,HCF-1400,1400,2.0,,0.371,,,0.94,2.0,,醚类,1 M NaPF6/Diglyme,20.0,0.89,174.73,261.08,64.3,1.0,2.0907410969337694
337.0,Sawdust-derived hard carbon as a high-performance anode for sodium-ion batteries,SC-pre-800,800,2.0,5.0,0.39,,,3.11,252.3,,酯类,1 M NaClO4 dissolved in ethylene carbonate/dimethyl carbonate / methyl ethyl carbonate (EC: DMC: EMC = 1:1:1) with 2% fluoroethylene carbonate (FEC),30.0,0.615,50.0,201.8,,0.0,0.4683789335187336
,Sawdust-derived hard carbon as a high-performance anode for sodium-ion batteries,SC-1000,1000,2.0,5.0,0.385,,,2.94,84.6,,酯类,1 M NaClO4 dissolved in ethylene carbonate/dimethyl carbonate / methyl ethyl carbonate (EC: DMC: EMC = 1:1:1) with 2% fluoroethylene carbonate (FEC),30.0,0.757,112.0,246.4,,0.0,1.1363018100969002
,Sawdust-derived hard carbon as a high-performance anode for sodium-ion batteries,SC-1200,1200,2.0,5.0,0.383,,,2.35,6.7,,酯类,1 M NaClO4 dissolved in ethylene carbonate/dimethyl carbonate / methyl ethyl carbonate (EC: DMC: EMC = 1:1:1) with 2% fluoroethylene carbonate (FEC),30.0,0.755,158.0,265.4,,0.0,1.1254595387042978
,Sawdust-derived hard carbon as a high-performance anode for sodium-ion batteries,SC-1400,1400,2.0,5.0,0.379,,,1.98,3.3,,酯类,1 M NaClO4 dissolved in ethylene carbonate/dimethyl carbonate / methyl ethyl carbonate (EC: DMC: EMC = 1:1:1) with 2% fluoroethylene carbonate (FEC),30.0,0.834,219.0,309.2,,0.0,1.6142456140022032
,Sawdust-derived hard carbon as a high-performance anode for sodium-ion batteries,SC-1600,1600,2.0,5.0,0.371,,,1.8,1.9,,酯类,1 M NaClO4 dissolved in ethylene carbonate/dimethyl carbonate / methyl ethyl carbonate (EC: DMC: EMC = 1:1:1) with 2% fluoroethylene carbonate (FEC),30.0,0.838,236.0,287.7,,0.0,1.6434217652496987
342.0,Selective synthesis of soft and hard carbons from a single precursor through tailor-made stabilization for anode in sodium-ion batteries,e-TSC8,800,,5.0,0.368,4.114,1.257,1.084,239.89,0.068,醚类,"1.0 M solution of sodium hexafluorophosphate (NaPF6, 98.0 %) in a mixture of diethylene glycol dimethyl ether (DEGDME, 99.5 %) ",10.0,0.481,64.08,161.36,42.4,1.0,-0.07603661306012757
,Selective synthesis of soft and hard carbons from a single precursor through tailor-made stabilization for anode in sodium-ion batteries,e-TSC20,2000,,5.0,0.343,12.818,7.159,1.306,17.7,0.006,醚类,"1.0 M solution of sodium hexafluorophosphate (NaPF6, 98.0 %) in a mixture of diethylene glycol dimethyl ether (DEGDME, 99.5 %) ",10.0,0.629,120.58,178.25,21.2,1.0,0.5279291940930054
,Selective synthesis of soft and hard carbons from a single precursor through tailor-made stabilization for anode in sodium-ion batteries,e-ASC8,800,,5.0,0.376,3.899,0.936,1.102,138.47,0.04,醚类,"1.0 M solution of sodium hexafluorophosphate (NaPF6, 98.0 %) in a mixture of diethylene glycol dimethyl ether (DEGDME, 99.5 %) ",10.0,0.527,48.93,192.82,13.6,1.0,0.10810516004942952
,Study of stable sodium ion storage in porous carbon derived from puffball biomass,PB-1000,1000,2.0,,0.354,2.14,0.68,0.94,131.24,,醚类,1.0 M NaPF6 in dimethoxyethane (DME) = 100 vol%,100.0,0.576,78.42,255.93,151.1,1.0,0.30637420546393324
,Synthesis of Low-Cost and High-Performance Dual-Atom Doped Carbon-Based Materials with a Simple Green Route as Anodes for Sodium-Ion Batteries,"(N, S)-C1190",1190,2.0,5.0,0.376,,,0.96,296.17,,醚类, 1 M NaPF6 in diglyme,50.0,0.6596,0.0,327.59,176.1,1.0,0.6615121939862246
373.0,Tailoring the microstructure and solid electrolyte interface of hard carbon to realize high-initial-coulombic-efficiency and high-rate sodium storage,LP5-1000,1000,2.0,,0.402,,,1.18,325.0,,醚类,1 M NaPF6 in DEGDME,30.0,0.66,53.65,181.0,,1.0,0.6632942174102643
,Tailoring the microstructure and solid electrolyte interface of hard carbon to realize high-initial-coulombic-efficiency and high-rate sodium storage,LP5-1200,1200,2.0,,0.397,,,1.15,103.0,,醚类,1 M NaPF6 in DEGDME,30.0,0.74,109.66,232.0,,1.0,1.0459685551826876
,Tailoring the microstructure and solid electrolyte interface of hard carbon to realize high-initial-coulombic-efficiency and high-rate sodium storage,LP3-1400,1400,2.0,,0.39,,,1.16,46.0,,醚类,1 M NaPF6 in DEGDME,30.0,0.8,172.61,303.0,,1.0,1.3862943611198908
,Tailoring the microstructure and solid electrolyte interface of hard carbon to realize high-initial-coulombic-efficiency and high-rate sodium storage,LP7-1400,1400,2.0,,0.388,,,1.05,29.0,,醚类,1 M NaPF6 in DEGDME,30.0,0.76,120.08,260.0,,1.0,1.1526795099383855
381.0,The effect of thermal treatment temperature on the crystal structure and electrochemical performance of the coconut shell-based hard carbon,HC-1100,1100,5.0,5.0,0.411,,,1.664,15.611,,酯类,1.0 M NaClO4/ EC-DEC (1: 1 by volume ratio) ,100.0,0.571,25.0,121.75,51.5,0.0,0.285932290727993
,Trash to treasure: Sulfonation-assisted transformation of waste masks into high-performance carbon anode for sodium-ion batteries,CM-140,1200,2.0,5.0,0.367,,,1.85,115.9,0.142,酯类,"1 M NaClO4 in EC and DEC (1:1, v/v) ",30.0,0.682,162.1,265.8,,0.0,0.7629782750632855
,Trash to treasure: Sulfonation-assisted transformation of waste masks into high-performance carbon anode for sodium-ion batteries,CM-160,1200,2.0,5.0,0.379,,,1.89,70.2,0.054,酯类,"1 M NaClO4 in EC and DEC (1:1, v/v) ",30.0,0.741,200.4,294.3,,0.0,1.051172563596549
,Trash to treasure: Sulfonation-assisted transformation of waste masks into high-performance carbon anode for sodium-ion batteries,CM-180,1200,2.0,5.0,0.384,,,1.96,30.0,0.012,酯类,"1 M NaClO4 in EC and DEC (1:1, v/v) ",30.0,0.784,230.5,327.4,,0.0,1.289130612666243
,Trash to treasure: Sulfonation-assisted transformation of waste masks into high-performance carbon anode for sodium-ion batteries,CM-200,1200,2.0,5.0,0.401,,,2.2,47.3,0.03,酯类,"1 M NaClO4 in EC and DEC (1:1, v/v) ",30.0,0.743,188.5,287.8,,0.0,1.0616199598225393
389.0,Understanding the Improved Sodium Ion Storage in Wood-Derived Hard Carbon Anodes by Hydrogen Treatment,HC,1400,2.0,,0.372,3.82,1.83,1.63,22.551,0.016,酯类,"he solvent mixture was a combination of ethylene carbonate and dimethyl carbonate in a 1:1 volume ratio, with a dissolved electrolyte of 1 M NaClO4",20.0,0.7662,92.4,276.0,,0.0,1.1869771832285805
,Understanding the Improved Sodium Ion Storage in Wood-Derived Hard Carbon Anodes by Hydrogen Treatment,HCH-600,1400,2.0,,0.377,3.76,1.71,1.51,27.9862,0.022,酯类,"he solvent mixture was a combination of ethylene carbonate and dimethyl carbonate in a 1:1 volume ratio, with a dissolved electrolyte of 1 M NaClO4",20.0,0.8067,186.5,325.0,,0.0,1.4287084657286433
,Understanding the Improved Sodium Ion Storage in Wood-Derived Hard Carbon Anodes by Hydrogen Treatment,HCH-800,1400,2.0,,0.379,3.33,1.67,1.59,37.2031,0.028,酯类,"he solvent mixture was a combination of ethylene carbonate and dimethyl carbonate in a 1:1 volume ratio, with a dissolved electrolyte of 1 M NaClO4",20.0,0.7775,150.0,300.8,,0.0,1.251156542447094
,Understanding the Improved Sodium Ion Storage in Wood-Derived Hard Carbon Anodes by Hydrogen Treatment,HCH-1000,1400,2.0,,0.381,3.16,1.37,1.71,51.9868,0.031,酯类,"he solvent mixture was a combination of ethylene carbonate and dimethyl carbonate in a 1:1 volume ratio, with a dissolved electrolyte of 1 M NaClO4",20.0,0.7447,140.3,284.6,,0.0,1.0705421284691619
,Understanding the Improved Sodium Ion Storage in Wood-Derived Hard Carbon Anodes by Hydrogen Treatment,HCH-1200,1400,2.0,,0.378,3.23,1.46,1.81,78.4585,0.052,酯类,"he solvent mixture was a combination of ethylene carbonate and dimethyl carbonate in a 1:1 volume ratio, with a dissolved electrolyte of 1 M NaClO4",20.0,0.7639,95.82,264.1,,0.0,1.1741814464558469
,Unraveling the effect of carbon morphology evolution in hard carbons on sodium storage performance,CHC-1100 ,1100,3.0,2.0,0.376,2.33,1.09,1.1,9.068,,醚类, 1.0 M NaPF6 in DME,50.0,0.5991,159.1,278.4,93.9,1.0,0.40171650944141785
,Unraveling the effect of carbon morphology evolution in hard carbons on sodium storage performance,CHC-1300 ,1300,3.0,2.0,0.365,2.84,1.14,1.03,4.729,,醚类, 1.0 M NaPF6 in DME,50.0,0.7059,189.1,317.4,130.3,1.0,0.875553738841477
,"Utilization of PET derived hard carbon as a battery-type, higher plateau capacity anode for sodium-ion and potassium-ion batteries",WPET-800,800,2.0,4.0,0.396,,,2.89,583.0,0.292,酯类,"1 M NaClO4 in a binary mixture of ethylene carbonate (EC) and propylene carbonate (PC) (1:1, v/v)",30.0,0.45,0.0,254.0,,0.0,-0.20067069546215124
,"Utilization of PET derived hard carbon as a battery-type, higher plateau capacity anode for sodium-ion and potassium-ion batteries",WPET-1000,1000,2.0,4.0,0.379,,,2.64,205.0,0.186,酯类,"1 M NaClO4 in a binary mixture of ethylene carbonate (EC) and propylene carbonate (PC) (1:1, v/v)",30.0,0.66,153.6,337.0,,0.0,0.6632942174102643
414.0,Zinc Single-Atom-Regulated Hard Carbons for High-Rate and Low-Temperature Sodium-Ion Batteries,HC,1300,2.0,,0.38,1.6,1.42,1.04,90.75,0.036,醚类, 1 mol/L NaPF6 in diglyme,50.0,0.73,151.7,363.0,259.0,1.0,0.9946225751440619
416.0,A General Multi-Interface Strategy toward Densified Carbon Materials with Enhanced Comprehensive Electrochemical Performance for Li/Na-Ion Batteries,HCS-1000,1000,2.0,,0.393,,,2.09,329.0,0.154,醚类,1 m NaPF6 in diglyme,50.0,0.654,107.89,245.4,188.6,1.0,0.6366685763994745
,A General Multi-Interface Strategy toward Densified Carbon Materials with Enhanced Comprehensive Electrochemical Performance for Li/Na-Ion Batteries,G@H-1000,1000,2.0,,0.389,,,2.03,478.4,0.218,醚类,1 m NaPF6 in diglyme,50.0,0.558,27.89,158.4,102.3,1.0,0.23304908030361296
,A General Multi-Interface Strategy toward Densified Carbon Materials with Enhanced Comprehensive Electrochemical Performance for Li/Na-Ion Batteries,GH5-1000,1000,2.0,,0.364,,,2.01,13.3,0.005,醚类,1 m NaPF6 in diglyme,50.0,0.703,108.0,302.5,229.0,1.0,0.861624753007965
419.0,"A green route N, S-doped hard carbon derived from fruit-peel biomass waste as an anode material for rechargeable sodium-ion storage applications",MPC,800,2.0,5.0,0.38,,1.22,0.63,1079.88,2.3172,酯类,"1 M NaClO4 (99.99%, Aldrich) 
dissolved in a mixture of ethylene carbonate (EC) and diethyl carbonate (DEC) (1:1 v/v)",100.0,0.4005,0.0,338.0,92.4,0.0,-0.4033822079591548
,Abnormal preferential oxygen functionalization on the surface of soft/hard carbon for sodium storage,HC,900,5.0,,0.399,4.7,2.0,0.89,578.2,,酯类, 1 M NaClO4 dissolved in Ethylene Carbonate and Propylene Carbonate with a volume ratio of 1:1 and 5 wt% fluoroethylene carbonate,50.0,0.3629,0.0,187.23,89.8,0.0,-0.5627993149034178
,Abnormal preferential oxygen functionalization on the surface of soft/hard carbon for sodium storage,O-HC,900,5.0,,0.399,4.5,1.6,0.95,352.7,,酯类, 1 M NaClO4 dissolved in Ethylene Carbonate and Propylene Carbonate with a volume ratio of 1:1 and 5 wt% fluoroethylene carbonate,50.0,0.5405,0.0,323.7,227.1,0.0,0.16235569528352117
,Achieving high initial Coulombic efficiency for competent Na storage by microstructure tailoring from chiral nematic nanocrystalline cellulose,NCC1000,1000,1.0,5.0,0.382,,,1.37,38.0,,酯类,"1 M NaClO4 in EC and DMC (1:1, v/v) ",30.0,0.73,141.0,256.0,,0.0,0.9946225751440619
,Achieving high initial Coulombic efficiency for competent Na storage by microstructure tailoring from chiral nematic nanocrystalline cellulose,HTCNCC1500,1500,1.0,5.0,0.373,,,1.52,13.0,,酯类,"1 M NaClO4 in EC and DMC (1:1, v/v) ",30.0,0.9,239.0,314.0,,0.0,2.1972245773362196
428.0,Agricultural Wastes for Full-Cell Sodium-Ion Batteries: Engineering Biomass Components to Maximize the Performance and Economic Prospects,L-HC,1400,,5.0,0.382,2.105,1.329,2.3,161.2,0.0121,醚类,1 M NaPF6 in diglyme,100.0,0.64,128.9,231.0,24.4,1.0,0.5753641449035619
,Agricultural Wastes for Full-Cell Sodium-Ion Batteries: Engineering Biomass Components to Maximize the Performance and Economic Prospects,CL-HC,1400,,5.0,0.384,2.055,1.281,2.2,53.0,0.0177,醚类,1 M NaPF6 in diglyme,100.0,0.69,160.1,259.0,65.0,1.0,0.8001193001121129
,Agricultural Wastes for Full-Cell Sodium-Ion Batteries: Engineering Biomass Components to Maximize the Performance and Economic Prospects,HL-HC,1400,,5.0,0.373,2.053,1.409,1.93,64.2,0.1107,醚类,1 M NaPF6 in diglyme,100.0,0.65,108.6,236.0,83.1,1.0,0.6190392084062236
,Agricultural Wastes for Full-Cell Sodium-Ion Batteries: Engineering Biomass Components to Maximize the Performance and Economic Prospects,CHL-HC,1400,,5.0,0.383,2.147,1.296,2.44,30.4,0.0493,醚类,1 M NaPF6 in diglyme,100.0,0.7,150.72,240.0,69.4,1.0,0.8472978603872034
435.0,An Overall Understanding of Sodium Storage Behaviors in Hard Carbons by an “Adsorption-Intercalation/Filling” Hybrid Mechanism,Glu,1500,1.0,10.0,0.372,4.26,1.15,1.15,24.0,0.018,酯类,"(1 M NaClO4 in ethylene carbonate
(EC), diethyl carbonate (DEC) and propylene carbonate (PC) (1:1:1 by volume))",20.0,0.779,169.3,277.5,,0.0,1.2598483443529955
,An Overall Understanding of Sodium Storage Behaviors in Hard Carbons by an “Adsorption-Intercalation/Filling” Hybrid Mechanism,Mg-Glu,1500,1.0,10.0,0.371,4.28,1.04,1.24,82.0,0.187,酯类,"(1 M NaClO4 in ethylene carbonate
(EC), diethyl carbonate (DEC) and propylene carbonate (PC) (1:1:1 by volume))",20.0,0.797,242.6,367.1,,0.0,1.367648699748428
,Biomass-Derived Hard Carbon with Interlayer Spacing Optimization toward Ultrastable Na-Ion Storage,FHC-1100,1100,2.0,5.0,0.393,,,2.3,187.5,,醚类,1 M NaPF6 in diglyme,100.0,0.727,107.4,203.2,137.0,1.0,0.9794546823485596
,Biomass-Derived Hard Carbon with Interlayer Spacing Optimization toward Ultrastable Na-Ion Storage,FHC-1500,1500,2.0,5.0,0.363,,,1.72,46.6,,醚类,1 M NaPF6 in diglyme,100.0,0.718,114.0,144.0,46.9,1.0,0.9345624981101105
454.0,"Boosting Surface-Dominated Sodium Storage of Carbon Anode Enabled by Coupling Graphene Nanodomains, Nitrogen-Doping, and Nanoarchitecture Engineering",ENMC,600,2.0,5.0,0.377,,,0.88,690.0,0.095,酯类,1.0 M NaClO4 dissolved in ethylene carbonate and diethyl carbonate (1:1 volume ratio) with the additive of 5% fluoroethylene carbonate,100.0,0.496,0.0,276.4,150.0,0.0,-0.01600034134644119
,"Boosting Surface-Dominated Sodium Storage of Carbon Anode Enabled by Coupling Graphene Nanodomains, Nitrogen-Doping, and Nanoarchitecture Engineering",BNPC,600,2.0,5.0,0.363,,,0.84,468.0,0.092,酯类,1.0 M NaClO4 dissolved in ethylene carbonate and diethyl carbonate (1:1 volume ratio) with the additive of 5% fluoroethylene carbonate,100.0,0.442,0.0,251.7,125.0,0.0,-0.2330490803036129
,Caramelization as a Key Stage for the Preparation of Monolithic Hard Carbon with Advanced Performance in Sodium-Ion Batteries,G-160-1300,1300,1.0,,0.3637,,,1.9,105.0,,酯类,1 M NaPF6 in a mixture of 1:1 v/v of ethylene carbonate (EC) with diethyl carbonate (DEC) ,25.0,0.72,159.17,258.0,175.7,0.0,0.9444616088408513
,Caramelization as a Key Stage for the Preparation of Monolithic Hard Carbon with Advanced Performance in Sodium-Ion Batteries,G-180-1300,1300,1.0,,0.3604,,,1.9,2.5,,酯类,1 M NaPF6 in a mixture of 1:1 v/v of ethylene carbonate (EC) with diethyl carbonate (DEC) ,25.0,0.85,197.23,293.0,257.7,0.0,1.7346010553881064
,Caramelization as a Key Stage for the Preparation of Monolithic Hard Carbon with Advanced Performance in Sodium-Ion Batteries,G-200-1300,1300,1.0,,0.362,,,1.8,0.1,,酯类,1 M NaPF6 in a mixture of 1:1 v/v of ethylene carbonate (EC) with diethyl carbonate (DEC) ,25.0,0.89,204.15,300.0,266.7,0.0,2.0907410969337694
,Caramelization as a Key Stage for the Preparation of Monolithic Hard Carbon with Advanced Performance in Sodium-Ion Batteries,G-220-1300	,1300,1.0,,0.3638,,,1.8,6.0,,酯类,1 M NaPF6 in a mixture of 1:1 v/v of ethylene carbonate (EC) with diethyl carbonate (DEC) ,25.0,0.84,209.69,308.0,262.8,0.0,1.6582280766035322
